
Logging initialized using configuration in file:/etc/hive-1.2.0/hive-log4j.properties
Hive history file=/home/hive/log/tnystrand/hive_job_log_b4df1efb-5ccc-44ca-b938-56a935e3b677_1248489398.txt
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-07-03	} stats: [numFiles=1, numRows=275201, totalSize=1233687, rawDataSize=275618437]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2015-06-26	} stats: [numFiles=1, numRows=76465, totalSize=656026, rawDataSize=76977295]
Partition cluster_metrics_prod_2.container_time_series{system=playfirst, date=2015-08-26	} stats: [numFiles=1, numRows=14198, totalSize=95119, rawDataSize=14277086]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2016-03-23} stats: [numFiles=4, numRows=278948, totalSize=947284, rawDataSize=282954795]
Partition cluster_metrics_prod_2.container_time_series{system=acquireweb, date=2015-12-03} stats: [numFiles=1, numRows=19, totalSize=2675, rawDataSize=19133]
Partition cluster_metrics_prod_2.container_time_series{system=playfirst, date=2016-03-29} stats: [numFiles=3, numRows=50277, totalSize=282619, rawDataSize=50878759]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-07-10	} stats: [numFiles=1, numRows=1074398, totalSize=4798169, rawDataSize=1076256596]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2015-11-29} stats: [numFiles=1, numRows=159812, totalSize=1092579, rawDataSize=160800192]
Partition cluster_metrics_prod_2.container_time_series{system=visualiq, date=2016-04-21} stats: [numFiles=2, numRows=72, totalSize=7646, rawDataSize=72864]
Partition cluster_metrics_prod_2.container_time_series{system=ms22, date=2016-04-11} stats: [numFiles=3, numRows=43956, totalSize=250756, rawDataSize=44397181]
Partition cluster_metrics_prod_2.container_time_series{system=devicescape2, date=2016-03-03} stats: [numFiles=4, numRows=663327, totalSize=4940104, rawDataSize=669773274]
Partition cluster_metrics_prod_2.container_time_series{system=tlg, date=2016-03-29} stats: [numFiles=3, numRows=86844, totalSize=540596, rawDataSize=87356026]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2016-03-27} stats: [numFiles=2, numRows=735863, totalSize=3775476, rawDataSize=744751347]
Partition cluster_metrics_prod_2.container_time_series{system=ms22, date=2015-11-17} stats: [numFiles=1, numRows=1424607, totalSize=2784907, rawDataSize=1423417376]
Partition cluster_metrics_prod_2.container_time_series{system=airpush, date=2015-09-26	} stats: [numFiles=1, numRows=22117, totalSize=178688, rawDataSize=22155578]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2016-01-27} stats: [numFiles=4, numRows=1797495, totalSize=5794102, rawDataSize=1795028341]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-06-28	} stats: [numFiles=1, numRows=655048, totalSize=3864581, rawDataSize=658113840]
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-11-11} stats: [numFiles=4, numRows=1267479, totalSize=6416716, rawDataSize=1270455217]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2015-08-27	} stats: [numFiles=1, numRows=146015, totalSize=956921, rawDataSize=146723149]
Partition cluster_metrics_prod_2.container_time_series{system=devicescape2, date=2015-07-27	} stats: [numFiles=1, numRows=970985, totalSize=7056688, rawDataSize=973515900]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-11-29} stats: [numFiles=1, numRows=824731, totalSize=4601416, rawDataSize=828554455]
Partition cluster_metrics_prod_2.container_time_series{system=motleyfool, date=2015-09-05	} stats: [numFiles=1, numRows=543, totalSize=8751, rawDataSize=546801]
Partition cluster_metrics_prod_2.container_time_series{system=marketshare, date=2016-02-02} stats: [numFiles=4, numRows=25537198, totalSize=27162151, rawDataSize=25927394138]
Partition cluster_metrics_prod_2.container_time_series{system=motleyfool, date=2015-07-07	} stats: [numFiles=1, numRows=899, totalSize=12070, rawDataSize=904394]
Partition cluster_metrics_prod_2.container_time_series{system=acquireweb, date=2016-03-15} stats: [numFiles=1, numRows=9, totalSize=2561, rawDataSize=9090]
Partition cluster_metrics_prod_2.container_time_series{system=tlg, date=2016-02-22} stats: [numFiles=3, numRows=101059, totalSize=448514, rawDataSize=102032000]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2015-11-29} stats: [numFiles=1, numRows=2399471, totalSize=12493673, rawDataSize=2418440124]
Partition cluster_metrics_prod_2.container_time_series{system=jungledata, date=2015-11-19} stats: [numFiles=1, numRows=99, totalSize=3696, rawDataSize=99000]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2016-02-27} stats: [numFiles=4, numRows=224746, totalSize=1542978, rawDataSize=226829265]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2016-02-21} stats: [numFiles=2, numRows=39399, totalSize=264206, rawDataSize=40235398]
